Declared,Temperature,NH3,pH,LUX,PAR,Kelvin,In/Out,Do
28/07/2021 02:02,25.25,0.075,6.52,0,0,0,In,7.60
28/07/2021 02:02,25.25,0.075,6.52,0,0,0,In,7.60
28/07/2021 02:02,25.375,0.075,6.52,0,0,0,In,7.70
28/07/2021 01:56,25.375,0.075,6.52,0,0,0,In,7.60
28/07/2021 01:56,25.5,0.075,6.52,0,0,0,In,7.90
28/07/2021 01:56,25.5,0.075,6.52,0,0,0,In,7.70
28/07/2021 01:53,25.75,0.075,6.52,0,0,0,In,7.70
28/07/2021 01:53,25.75,0.075,6.52,0,0,0,In,7.60
28/07/2021 01:53,25.625,0.075,6.52,0,0,0,In,7.80
28/07/2021 01:53,25.75,0.075,6.53,0,0,0,In,7.90
28/07/2021 01:53,25.625,0.075,6.52,0,0,0,In,7.80
28/07/2021 01:53,25.625,0.075,6.53,0,0,0,In,7.80
28/07/2021 01:53,25.625,0.075,6.53,0,0,0,In,7.60
28/07/2021 01:53,25.75,0.075,6.52,0,0,0,In,7.70
28/07/2021 01:52,25.625,0.075,6.52,0,0,0,In,7.70
28/07/2021 01:52,25.625,0.075,6.52,0,0,0,In,7.70
28/07/2021 01:52,25.375,0.075,6.52,0,0,0,In,7.70
28/07/2021 01:52,25.5,0.075,6.52,0,0,0,In,7.90
28/07/2021 01:52,25.625,0.075,6.52,0,0,0,In,7.60
28/07/2021 01:52,25.625,0.075,6.52,0,0,0,In,7.90
28/07/2021 01:52,25.5,0.075,6.52,0,0,0,In,7.80
28/07/2021 01:52,25.625,0.075,6.52,0,0,0,In,7.70
28/07/2021 01:52,25.375,0.075,6.53,0,0,0,In,7.70
28/07/2021 01:51,25.375,0.075,6.52,0,0,0,In,7.60
28/07/2021 01:51,25.5,0.075,6.52,0,0,0,In,7.70
28/07/2021 01:51,25.375,0.075,6.52,0,0,0,In,7.80
28/07/2021 01:51,25.375,0.075,6.52,0,0,0,In,7.90
28/07/2021 01:51,25.5,0.075,6.52,0,0,0,In,7.70
28/07/2021 01:51,25.375,0.074,6.52,0,0,0,In,7.80
28/07/2021 01:51,25.375,0.075,6.52,0,0,0,In,7.70
28/07/2021 01:50,25.25,0.075,6.52,0,0,0,In,7.90
28/07/2021 01:50,25.375,0.074,6.52,0,0,0,In,7.80
28/07/2021 01:45,25.375,0.075,6.52,0,0,0,In,7.90
28/07/2021 01:45,25.5,0.075,6.52,0,0,0,In,7.60
28/07/2021 01:45,25.375,0.075,6.51,0,0,0,In,7.70
28/07/2021 01:41,25.5,0.075,6.52,0,0,0,In,7.70
28/07/2021 01:41,25.5,0.075,6.52,0,0,0,In,7.90
28/07/2021 01:41,25.625,0.075,6.52,0,0,0,In,7.60
28/07/2021 01:41,25.5,0.075,6.52,0,0,0,In,7.90
28/07/2021 01:40,25.375,0.075,6.52,0,0,0,In,7.70
28/07/2021 01:40,25.375,0.075,6.52,0,0,0,In,7.80
28/07/2021 01:40,25.375,0.075,6.52,0,0,0,In,7.70
28/07/2021 01:40,25.375,0.075,6.52,0,0,0,In,7.70
28/07/2021 01:40,25.25,0.075,6.52,0,0,0,In,7.90
28/07/2021 01:37,25.875,0.075,6.51,0,0,0,In,7.80
28/07/2021 01:37,25.75,0.075,6.51,0,0,0,In,7.60
28/07/2021 01:37,25.875,0.075,6.51,0,0,0,In,7.80
28/07/2021 01:37,25.875,0.075,6.51,0,0,0,In,7.90
28/07/2021 01:36,25.875,0.075,6.51,0,0,0,In,7.90
28/07/2021 01:36,25.875,0.075,6.51,0,0,0,In,7.90
28/07/2021 01:36,25.875,0.075,6.52,0,0,0,In,7.60
28/07/2021 01:36,25.75,0.075,6.52,0,0,0,In,7.60
28/07/2021 01:36,25.875,0.075,6.52,0,0,0,In,7.90
28/07/2021 01:36,25.875,0.075,6.52,0,0,0,In,7.70
28/07/2021 01:36,25.75,0.075,6.52,0,0,0,In,7.70
28/07/2021 01:36,25.875,0.075,6.51,0,0,0,In,7.90
28/07/2021 01:36,25.875,0.075,6.51,0,0,0,In,7.90
28/07/2021 01:35,26,0.075,6.51,0,0,0,In,7.90
28/07/2021 01:35,25.875,0.075,6.51,0,0,0,In,7.90
28/07/2021 01:35,25.625,0.075,6.51,0,0,0,In,7.60
28/07/2021 01:35,25.875,0.075,6.51,0,0,0,In,7.60
28/07/2021 01:35,25.875,0.075,6.51,0,0,0,In,7.70
28/07/2021 01:35,25.875,0.075,6.51,0,0,0,In,7.90
28/07/2021 01:35,25.875,0.075,6.51,0,0,0,In,7.90
28/07/2021 01:35,25.625,0.075,6.51,0,0,0,In,7.80
28/07/2021 01:34,25.75,0.075,6.51,0,0,0,In,7.70
28/07/2021 01:34,25.75,0.075,6.51,0,0,0,In,7.80
28/07/2021 01:34,25.875,0.075,6.51,0,0,0,In,7.80
28/07/2021 01:34,25.875,0.075,6.51,0,0,0,In,7.90
28/07/2021 01:34,25.75,0.075,6.51,0,0,0,In,7.80
28/07/2021 01:34,25.875,0.075,6.51,0,0,0,In,7.70
28/07/2021 01:34,25.75,0.075,6.51,0,0,0,In,7.60
28/07/2021 01:34,25.75,0.075,6.5,0,0,0,In,7.80
28/07/2021 01:34,25.875,0.075,6.5,0,0,0,In,7.80
28/07/2021 01:33,25.75,0.075,6.5,0,0,0,In,7.70
28/07/2021 01:33,25.75,0.075,6.5,0,0,0,In,7.70
28/07/2021 01:33,25.625,0.075,6.5,0,0,0,In,7.90
28/07/2021 01:33,25.75,0.075,6.51,0,0,0,In,7.60
28/07/2021 01:33,25.5,0.075,6.5,0,0,0,In,7.90
28/07/2021 01:33,25.625,0.075,6.5,0,0,0,In,7.60
28/07/2021 01:33,25.625,0.075,6.5,0,0,0,In,7.90
28/07/2021 01:33,25.625,0.075,6.5,0,0,0,In,7.90
28/07/2021 01:32,25.5,0.075,6.5,0,0,0,In,7.90
28/07/2021 01:32,25.625,0.075,6.5,0,0,0,In,7.80
28/07/2021 01:32,25.5,0.075,6.5,0,0,0,In,7.90
28/07/2021 01:32,25.625,0.075,6.49,0,0,0,In,7.60
28/07/2021 01:32,25.625,0.075,6.49,0,0,0,In,7.90
28/07/2021 01:32,25.5,0.075,6.49,0,0,0,In,7.80
28/07/2021 01:32,25.5,0.075,6.5,0,0,0,In,7.90
28/07/2021 01:32,25.5,0.075,6.49,0,0,0,In,7.70
28/07/2021 01:32,25.375,0.075,6.5,0,0,0,In,7.80
28/07/2021 01:31,25.375,0.075,6.49,0,0,0,In,7.80
28/07/2021 01:31,25.375,0.075,6.49,0,0,0,In,7.80
28/07/2021 01:26,25.625,0.075,6.51,0,0,0,In,7.90
28/07/2021 01:24,26,0.075,6.51,0,0,0,In,7.90
28/07/2021 01:24,25.875,0.075,6.51,0,0,0,In,7.80
28/07/2021 01:24,25.875,0.075,6.51,0,0,0,In,7.60
28/07/2021 01:24,25.875,0.075,6.51,0,0,0,In,7.60
28/07/2021 01:24,26,0.075,6.52,0,0,0,In,7.80
28/07/2021 01:24,25.75,0.075,6.51,0,0,0,In,7.60
28/07/2021 01:24,25.875,0.075,6.52,0,0,0,In,7.80
28/07/2021 01:24,25.875,0.075,6.51,0,0,0,In,7.70
